,title,page_link,writer,script_link,script_downloaded
114,Avatar,https://imsdb.com/Movie%20Scripts/Avatar%20Script.html,Written by James Cameron,https://imsdb.com/scripts/Avatar.html,Yes
115,"Avengers, The","https://imsdb.com/Movie%20Scripts/Avengers,%20The%20Script.html",Written by Don Macpherson,"https://imsdb.com/scripts/Avengers,-The.html",Yes
116,"Avengers, The (2012)","https://imsdb.com/Movie%20Scripts/Avengers,%20The%20(2012)%20Script.html",Written by Joss Whedon,"https://imsdb.com/scripts/Avengers,-The-(2012).html",Yes
117,Avengers: Endgame,https://imsdb.com/Movie%20Scripts/Avengers:%20Endgame%20Script.html,"Written by Christopher Markus,Stephen McFeely",https://imsdb.com/scripts/Avengers-Endgame.html,Yes
118,"Avventura, L' (The Adventure)","https://imsdb.com/Movie%20Scripts/Avventura,%20L'%20(The%20Adventure)%20Script.html","Written by Michelangelo Antonioni,Elio Bartolini,Tonino Guerra","https://imsdb.com/scripts/Avventura,-L'-(The-Adventure).html",Yes
119,Awakenings,https://imsdb.com/Movie%20Scripts/Awakenings%20Script.html,Written by Steven Zaillian,https://imsdb.com/scripts/Awakenings.html,Yes
120,Babel,https://imsdb.com/Movie%20Scripts/Babel%20Script.html,Written by Guillermo Arriaga,https://imsdb.com/scripts/Babel.html,Yes
121,Bachelor Party,https://imsdb.com/Movie%20Scripts/Bachelor%20Party%20Script.html,"Written by Neal Israel,Pat Proft,Bob Israel",https://imsdb.com/scripts/Bachelor-Party.html,Yes
122,"Bachelor Party, The","https://imsdb.com/Movie%20Scripts/Bachelor%20Party,%20The%20Script.html",Written by Paddy Chayefsky,"https://imsdb.com/scripts/Bachelor-Party,-The.html",Yes
123,Back to the Future,https://imsdb.com/Movie%20Scripts/Back%20to%20the%20Future%20Script.html,"Written by Robert Zemeckis,Bob Gale",https://imsdb.com/scripts/Back-to-the-Future.pdf,No
124,Back to the Future II & III,https://imsdb.com/Movie%20Scripts/Back%20to%20the%20Future%20II%20&%20III%20Script.html,Written by Bob Gale,https://imsdb.com/scripts/,No
125,"Back-up Plan, The","https://imsdb.com/Movie%20Scripts/Back-up%20Plan,%20The%20Script.html",Written by Kate Angelo,"https://imsdb.com/scripts/Back-up-Plan,-The.html",Yes
126,Backdraft,https://imsdb.com/Movie%20Scripts/Backdraft%20Script.html,Written by Gregory Widen,https://imsdb.com/scripts/Backdraft.html,Yes
127,Bad Boys,https://imsdb.com/Movie%20Scripts/Bad%20Boys%20Script.html,"Written by Michael Barrie,Jim Mulholland,Doug Richardson",https://imsdb.com/scripts/Bad-Boys.html,Yes
128,Bad Country,https://imsdb.com/Movie%20Scripts/Bad%20Country%20Script.html,Written by Jonathan Hirschbein,https://imsdb.com/scripts/Bad-Country.html,Yes
129,Bad Day at Black Rock,https://imsdb.com/Movie%20Scripts/Bad%20Day%20at%20Black%20Rock%20Script.html,"Written by Don McGuire,Millard Kaufman,Howard Breslin",https://imsdb.com/scripts/Bad-Day-at-Black-Rock.html,Yes
130,Bad Dreams,https://imsdb.com/Movie%20Scripts/Bad%20Dreams%20Script.html,"Written by Andrew Fleming,Steven E. de Souza",https://imsdb.com/scripts/Bad-Dreams.html,Yes
131,Bad Lieutenant,https://imsdb.com/Movie%20Scripts/Bad%20Lieutenant%20Script.html,"Written by Abel Ferrara,Zoe Lund",https://imsdb.com/scripts/Bad-Lieutenant.html,Yes
